City_ID,City,country,Max Temp,Current Description,Lat,Lng,Hotel Name
337,Lasa,IT,72.0,scattered clouds,46.62,10.7,Pension Feldgärtenhof
338,Karratha,AU,84.33,clear sky,-20.74,116.85,ibis Styles Karratha
342,Jieshou,CN,71.24,light rain,33.26,115.36,Vatica Jieshou City New Passenger Transport Center Hotel
343,Nouadhibou,MR,77.0,clear sky,20.93,-17.03,El Medina
344,Isla Mujeres,MX,84.0,broken clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
348,Cairns,AU,78.8,clear sky,-16.92,145.77,Mantra Trilogy Cairns
349,Kano,NG,73.4,few clouds,12.0,8.52,La Sultana Hotel
350,Tomatlan,MX,73.44,few clouds,19.93,-105.25,Norma franco
351,Ixtapa,MX,75.96,broken clouds,20.7,-105.2,Container Inn Puerto Vallarta
354,Tres Picos,MX,77.7,moderate rain,15.87,-93.53,HOTEL TRES PICOS
355,Colares,PT,71.01,broken clouds,38.8,-9.45,Arribas Sintra Hotel
357,Tiznit,MA,88.29,clear sky,29.58,-9.5,
358,Felanitx,ES,84.2,few clouds,39.47,3.15,Petit Hotel Hostatgeria Sant Salvador
361,Saint George,US,87.8,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
362,Trincomalee,LK,86.29,broken clouds,8.57,81.23,Welcombe Hotel
363,Jishou,CN,84.42,moderate rain,28.32,109.72,7Days Inn Jishou Railway Station
364,Galesong,ID,89.6,few clouds,-5.32,119.37,Sapriadi Appy
365,Meulaboh,ID,84.15,light rain,4.14,96.13,Kost Pria
366,Ormara,PK,83.28,overcast clouds,25.21,64.64,
368,Mabaruma,GY,73.04,scattered clouds,8.2,-59.78,
371,Raga,SS,77.65,moderate rain,8.46,25.68,
372,Moorhead,US,71.6,clear sky,46.87,-96.77,"Courtyard by Marriott Fargo Moorhead, MN"
373,Abha,SA,84.2,broken clouds,18.22,42.51,Abha Hotel
375,Duarte,US,73.99,clear sky,34.14,-117.98,Courtyard by Marriott Los Angeles Pasadena/Monrovia
378,Altus,US,71.6,clear sky,34.64,-99.33,Holiday Inn Express & Suites Altus
379,Acajutla,SV,70.0,light rain,13.59,-89.83,Stop.
384,Fare,PF,78.04,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
388,Nunkini,MX,73.29,clear sky,20.33,-90.18,
389,Panaba,MX,75.54,broken clouds,21.28,-88.27,Hotel Amor
390,Saint-Joseph,RE,78.8,few clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
393,Slavonice,CZ,73.99,clear sky,49.0,15.35,Design Hotel Besídka
395,Ukrayinka,UA,82.0,broken clouds,47.92,35.35,
396,Charlottesville,US,71.6,overcast clouds,38.03,-78.48,Holiday Inn Charlottesville-Monticello
401,Bauchi,NG,72.82,overcast clouds,10.5,10.0,
402,Fort-Shevchenko,KZ,82.83,overcast clouds,44.51,50.26,Oasis hotel Bautino
408,Alihe,CN,77.32,broken clouds,50.57,123.72,Alihe Forestry Hotel
416,Bandarbeyla,SO,88.43,clear sky,9.49,50.81,REER XOOSHLE GROUP
419,Hovd,MN,71.89,clear sky,48.01,91.64,Hotel Khovd
420,Canavieiras,BR,71.02,overcast clouds,-15.68,-38.95,Bahiadomizil
421,Surt,LY,83.71,clear sky,31.21,16.59,City Hotel
423,Aleksandrovskiy Zavod,RU,73.6,overcast clouds,50.92,117.94,Druzhba
424,Montbrison,FR,84.0,clear sky,45.67,4.08,Hostellerie Del Matin Calme Hôtel à Montbrison
426,Linkou,CN,74.46,clear sky,45.3,130.28,Yueliang Resort
429,Nioro,GM,75.79,few clouds,13.35,-15.75,
432,Phu Ly,VN,86.45,moderate rain,20.54,105.91,5 Star Apartment Central Phu Ly
433,Konevo,RU,71.17,clear sky,62.12,39.32,
435,Skaudvile,LT,71.17,scattered clouds,55.42,22.62,
436,Dongkan,CN,80.62,light rain,34.0,119.83,Triumphal Resort
437,Gribanovskiy,RU,71.01,clear sky,51.46,41.98,Провинция
441,Itarema,BR,74.26,broken clouds,-2.92,-39.92,Windvillage
442,Canyon Lake,US,78.01,clear sky,29.88,-98.26,The Lodge At Turkey Cove
445,Cravo Norte,CO,76.14,overcast clouds,6.3,-70.2,Hotel El Puerto
446,Yulara,AU,75.2,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
447,Pemba,MZ,82.4,broken clouds,-12.97,40.52,Guesthouse Samotina
450,Katakwi,UG,79.84,scattered clouds,1.89,33.97,Ebenezer Guest House
453,Alice Springs,AU,75.2,clear sky,-23.7,133.88,Desert Palms Alice Springs
